entry_time,exit_time,entry_price,exit_price,qty_btc,notional_eur,sl_price,tp_price,pnl_eur,pnl_pct_of_account,confidence,prob_up,close_reason,bars_held,exit_month,balance_after,gross_gain_eur,gross_loss_eur
2026-01-23 09:00:00,2026-01-23 16:00:00,88848.19,89849.79,0.129762,11529.15,88347.38,89849.79,129.97,1.127,0.8114,0.8114,TAKE_PROFIT,7,2026-01,12265.92,129.97,0.0
2026-01-23 19:00:00,2026-01-24 07:00:00,89854.39,89471.31,0.129683,11652.62,88992.75,91577.67,-49.68,-0.426,0.6689,0.6689,TIME_EXIT,12,2026-01,12216.24,0.0,-49.68
2026-01-26 00:00:00,2026-01-26 12:00:00,86734.32,87709.39,0.133804,11605.43,86001.91,88199.15,130.47,1.124,0.7746,0.7746,TIME_EXIT,12,2026-01,12346.71,130.47,0.0
2026-01-26 16:00:00,2026-01-27 04:00:00,87546.74,88478.63,0.133978,11729.37,86817.86,89004.51,124.85,1.064,0.8003,0.8003,TIME_EXIT,12,2026-01,12471.56,124.85,0.0
2026-01-27 10:00:00,2026-01-27 16:00:00,87654.55,88629.49,0.135167,11847.98,87167.07,88629.49,131.78,1.112,0.8175,0.8175,TAKE_PROFIT,6,2026-01,12603.34,131.78,0.0
2026-01-27 17:00:00,2026-01-27 20:00:00,87426.18,88699.7,0.136952,11973.18,86789.42,88699.7,174.41,1.457,0.8978,0.8978,TAKE_PROFIT,3,2026-01,12777.75,174.41,0.0
2026-01-28 08:00:00,2026-01-28 11:00:00,88799.02,89933.72,0.1367,12138.87,88231.67,89933.72,155.11,1.278,0.8362,0.8362,TAKE_PROFIT,3,2026-01,12932.87,155.11,0.0
2026-01-28 20:00:00,2026-01-29 00:00:00,89083.05,88978.08,0.137919,12286.22,88223.99,90801.19,-14.48,-0.118,0.678,0.678,SHORT_SIGNAL_SPOT_EXIT,4,2026-01,12918.39,0.0,-14.48
2026-01-29 20:00:00,2026-01-30 01:00:00,83916.76,82859.27,0.146246,12272.47,82859.27,86031.74,-154.65,-1.26,0.6699,0.6699,STOP_LOSS,5,2026-01,12763.74,0.0,-154.65
2026-01-30 08:00:00,2026-01-30 20:00:00,82493.35,83716.23,0.146988,12125.55,81381.3,84717.45,179.75,1.482,0.7208,0.7208,TIME_EXIT,12,2026-01,12943.49,179.75,0.0
2026-01-30 20:00:00,2026-01-31 02:00:00,83716.23,83986.77,0.146881,12296.31,82555.9,86036.91,39.74,0.323,0.7796,0.7796,SHORT_SIGNAL_SPOT_EXIT,6,2026-01,12983.22,39.74,0.0
2026-01-31 20:00:00,2026-02-01 08:00:00,77941.32,78507.09,0.131176,10224.06,76456.69,80910.58,74.22,0.726,0.7131,0.7131,TIME_EXIT,12,2026-02,13057.44,74.22,0.0
2026-02-01 21:00:00,2026-02-02 00:00:00,76405.0,77585.1,0.162353,12404.56,75285.65,78643.69,191.59,1.545,0.712,0.712,SHORT_SIGNAL_SPOT_EXIT,3,2026-02,13249.03,191.59,0.0
2026-02-02 04:00:00,2026-02-02 15:00:00,75800.88,79037.04,0.122822,9309.99,74182.8,79037.04,397.47,4.269,0.6636,0.6636,TAKE_PROFIT,11,2026-02,13646.5,397.47,0.0
2026-02-02 20:00:00,2026-02-03 00:00:00,77920.79,79009.59,0.166376,12964.18,76879.88,80002.6,181.15,1.397,0.7839,0.7839,SHORT_SIGNAL_SPOT_EXIT,4,2026-02,13827.65,181.15,0.0
2026-02-03 02:00:00,2026-02-03 08:00:00,77810.25,78673.89,0.168824,13136.27,76777.07,79876.61,145.8,1.11,0.7323,0.7323,SHORT_SIGNAL_SPOT_EXIT,6,2026-02,13973.45,145.8,0.0
2026-02-04 00:00:00,2026-02-04 10:00:00,75804.78,76189.34,0.127607,9673.24,74162.23,79089.89,49.07,0.507,0.6505,0.6505,SHORT_SIGNAL_SPOT_EXIT,10,2026-02,14022.53,49.07,0.0
2026-02-04 17:00:00,2026-02-04 19:00:00,72488.21,73782.91,0.183773,13321.4,71418.06,74628.52,237.93,1.786,0.6647,0.6647,SHORT_SIGNAL_SPOT_EXIT,2,2026-02,14260.46,237.93,0.0
2026-02-06 00:00:00,2026-02-06 12:00:00,63515.59,66455.77,0.081589,5182.14,60893.81,68759.14,239.89,4.629,0.6728,0.6728,TIME_EXIT,12,2026-02,14500.34,239.89,0.0
2026-02-06 12:00:00,2026-02-06 17:00:00,66455.77,70689.41,0.102751,6828.4,64338.95,70689.41,435.01,6.371,0.8314,0.8314,TAKE_PROFIT,5,2026-02,14935.35,435.01,0.0
2026-02-07 07:00:00,2026-02-07 12:00:00,68144.41,68888.95,0.147012,10018.01,66620.52,71192.21,109.46,1.093,0.7006,0.7006,SHORT_SIGNAL_SPOT_EXIT,5,2026-02,15044.81,109.46,0.0
2026-02-09 00:00:00,2026-02-09 04:00:00,70464.62,71006.8,0.202833,14292.57,69452.08,72489.69,109.97,0.769,0.658,0.658,SHORT_SIGNAL_SPOT_EXIT,4,2026-02,15154.78,109.97,0.0
2026-02-09 12:00:00,2026-02-09 20:00:00,69033.95,70759.2,0.207726,14340.16,67939.62,71222.62,358.38,2.499,0.6914,0.6914,SHORT_SIGNAL_SPOT_EXIT,8,2026-02,15513.16,358.38,0.0
2026-02-10 03:00:00,2026-02-10 14:00:00,69443.59,68336.1,0.210111,14590.87,68336.1,71658.59,-232.7,-1.595,0.6966,0.6966,STOP_LOSS,11,2026-02,15280.46,0.0,-232.7
2026-02-10 14:00:00,2026-02-10 17:00:00,68395.99,69766.52,0.212241,14516.44,67535.99,70115.99,290.88,2.004,0.8691,0.8691,SHORT_SIGNAL_SPOT_EXIT,3,2026-02,15571.35,290.88,0.0
2026-02-10 18:00:00,2026-02-11 00:00:00,68902.07,69181.09,0.214693,14792.78,67894.57,70917.08,59.9,0.405,0.7899,0.7899,SHORT_SIGNAL_SPOT_EXIT,6,2026-02,15631.25,59.9,0.0
2026-02-11 03:00:00,2026-02-11 06:00:00,68242.17,67253.61,0.217603,14849.69,67253.61,70219.3,-215.11,-1.449,0.682,0.682,STOP_LOSS,3,2026-02,15416.14,0.0,-215.11
2026-02-11 06:00:00,2026-02-11 12:00:00,66750.91,67116.88,0.219403,14645.33,65896.47,68459.81,80.29,0.548,0.6721,0.6721,SHORT_SIGNAL_SPOT_EXIT,6,2026-02,15496.43,80.29,0.0
2026-02-11 16:00:00,2026-02-11 21:00:00,66028.41,67794.13,0.211177,13943.7,64927.69,68229.84,372.88,2.674,0.8543,0.8543,SHORT_SIGNAL_SPOT_EXIT,5,2026-02,15869.31,372.88,0.0
2026-02-12 00:00:00,2026-02-12 12:00:00,67478.34,67800.86,0.191641,12931.59,66236.23,69962.57,61.81,0.478,0.6753,0.6753,TIME_EXIT,12,2026-02,15931.12,61.81,0.0
2026-02-12 17:00:00,2026-02-13 05:00:00,65447.47,66172.88,0.231247,15134.56,64509.99,67322.43,167.75,1.108,0.7502,0.7502,TIME_EXIT,12,2026-02,16098.87,167.75,0.0
2026-02-13 08:00:00,2026-02-13 15:00:00,66569.48,68008.19,0.229744,15293.92,65850.13,68008.19,330.53,2.161,0.8836,0.8836,TAKE_PROFIT,7,2026-02,16429.4,330.53,0.0
2026-02-15 18:00:00,2026-02-15 21:00:00,68388.75,68852.77,0.228224,15607.93,67713.44,69739.36,105.9,0.679,0.702,0.702,SHORT_SIGNAL_SPOT_EXIT,3,2026-02,16535.3,105.9,0.0
2026-02-17 04:00:00,2026-02-17 10:00:00,68403.92,67735.69,0.229644,15708.54,67735.69,69740.39,-153.46,-0.977,0.6599,0.6599,STOP_LOSS,6,2026-02,16381.85,0.0,-153.46
2026-02-17 10:00:00,2026-02-17 14:00:00,67775.84,67150.29,0.229621,15562.75,67150.29,69026.94,-143.64,-0.923,0.7486,0.7486,STOP_LOSS,4,2026-02,16238.21,0.0,-143.64
2026-02-17 14:00:00,2026-02-17 18:00:00,66916.46,68172.95,0.230531,15426.3,66175.52,68398.35,289.66,1.878,0.8578,0.8578,SHORT_SIGNAL_SPOT_EXIT,4,2026-02,16527.87,289.66,0.0
2026-02-18 00:00:00,2026-02-18 08:00:00,67291.0,68086.59,0.233337,15701.47,66450.75,68971.5,185.64,1.182,0.7185,0.7185,SHORT_SIGNAL_SPOT_EXIT,8,2026-02,16713.51,185.64,0.0
2026-02-19 00:00:00,2026-02-19 08:00:00,66419.13,66918.14,0.239055,15877.83,65663.87,67929.65,119.29,0.751,0.7361,0.7361,SHORT_SIGNAL_SPOT_EXIT,8,2026-02,16832.8,119.29,0.0
2026-02-19 12:00:00,2026-02-19 13:00:00,66483.3,66043.89,0.240529,15991.16,66043.89,67362.11,-105.69,-0.661,0.6668,0.6668,STOP_LOSS,1,2026-02,16727.11,0.0,-105.69
2026-02-19 13:00:00,2026-02-19 17:00:00,65880.56,66855.29,0.241205,15890.75,65393.2,66855.29,235.11,1.48,0.838,0.838,TAKE_PROFIT,4,2026-02,16962.22,235.11,0.0
2026-02-19 17:00:00,2026-02-19 20:00:00,66290.69,67093.53,0.243082,16114.1,65606.97,67658.12,195.16,1.211,0.9,0.9,SHORT_SIGNAL_SPOT_EXIT,3,2026-02,17157.37,195.16,0.0
2026-02-20 04:00:00,2026-02-20 08:00:00,67233.38,67842.3,0.242432,16299.5,66653.28,68393.56,147.62,0.906,0.8209,0.8209,SHORT_SIGNAL_SPOT_EXIT,4,2026-02,17305.0,147.62,0.0
2026-02-20 13:00:00,2026-02-20 15:00:00,66736.46,67819.96,0.246338,16439.75,66194.71,67819.96,266.91,1.624,0.8463,0.8463,TAKE_PROFIT,2,2026-02,17571.9,266.91,0.0
2026-02-20 20:00:00,2026-02-21 00:00:00,67704.04,67817.83,0.246563,16693.31,66930.33,69251.45,28.06,0.168,0.6873,0.6873,SHORT_SIGNAL_SPOT_EXIT,4,2026-02,17599.96,28.06,0.0
2026-02-21 05:00:00,2026-02-21 17:00:00,67828.49,68400.3,0.246504,16719.96,67335.99,68813.5,140.95,0.843,0.7566,0.7566,TIME_EXIT,12,2026-02,17740.91,140.95,0.0
2026-02-22 02:00:00,2026-02-22 12:00:00,67885.89,67939.35,0.248268,16853.87,67502.67,68652.34,13.27,0.079,0.7625,0.7625,SHORT_SIGNAL_SPOT_EXIT,10,2026-02,17754.18,13.27,0.0
2026-02-22 14:00:00,2026-02-23 00:00:00,67432.83,67139.77,0.250123,16866.48,67139.77,68018.94,-73.3,-0.435,0.7646,0.7646,STOP_LOSS,10,2026-02,17680.89,0.0,-73.3
2026-02-23 20:00:00,2026-02-24 00:00:00,64430.46,64912.81,0.260697,16796.84,63669.3,65952.78,125.75,0.749,0.8588,0.8588,SHORT_SIGNAL_SPOT_EXIT,4,2026-02,17806.63,125.75,0.0
2026-02-24 12:00:00,2026-02-24 17:00:00,62957.02,64455.21,0.268696,16916.3,62207.93,64455.21,402.56,2.38,0.9135,0.9135,TAKE_PROFIT,5,2026-02,18209.19,402.56,0.0
2026-02-24 21:00:00,2026-02-25 01:00:00,64064.83,65408.08,0.270019,17298.73,63393.21,65408.08,362.7,2.097,0.6959,0.6959,TAKE_PROFIT,4,2026-02,18571.9,362.7,0.0
2026-02-26 16:00:00,2026-02-27 04:00:00,66596.49,68142.66,0.264928,17643.3,65823.41,68142.66,409.62,2.322,0.8881,0.8881,TAKE_PROFIT,12,2026-02,18981.52,409.62,0.0
2026-02-27 14:00:00,2026-02-27 22:00:00,65862.6,65142.23,0.273789,18032.44,65142.23,67303.34,-197.23,-1.094,0.6778,0.6778,STOP_LOSS,8,2026-02,18784.29,0.0,-197.23
2026-02-28 00:00:00,2026-02-28 04:00:00,65946.01,65664.78,0.270601,17845.08,65255.3,67327.42,-76.1,-0.426,0.6942,0.6942,SHORT_SIGNAL_SPOT_EXIT,4,2026-02,18708.19,0.0,-76.1
2026-02-28 06:00:00,2026-02-28 13:00:00,63106.07,64544.98,0.281633,17772.78,62386.62,64544.98,405.24,2.28,0.7057,0.7057,TAKE_PROFIT,7,2026-02,19113.43,405.24,0.0
2026-02-28 13:00:00,2026-02-28 20:00:00,64996.73,66765.48,0.279364,18157.76,64112.35,66765.48,494.13,2.721,0.7643,0.7643,TAKE_PROFIT,7,2026-02,19607.56,494.13,0.0
